transaction_id,date,source_currency,source_amount,target_currency,target_amount,fx_rate_applied,reference_fx_rate,provider,flow_type,route,entity
TXN-20240115-014,2024-01-17,SGD,62000.00,IDR,670408000,10813.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240115-015,2024-01-19,SGD,19000.00,THB,513000.00,27.000,27.50,DBS,contractor_payout,SGD→USD→THB,Tokoapik SG Pte Ltd
TXN-20240115-016,2024-01-19,SGD,44000.00,MYR,146520.00,3.330,3.35,Revolut,intercompany,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240115-017,2024-01-22,SGD,85000.00,IDR,937600000,11030.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240115-018,2024-01-22,SGD,31000.00,IDR,347200000,11200.00,11200.00,Airwallex,contractor_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240115-019,2024-01-24,SGD,17500.00,MYR,57750.00,3.300,3.35,DBS,supplier_payout,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240115-020,2024-01-24,SGD,48000.00,IDR,537600000,11200.00,11200.00,Wise,supplier_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240201-021,2024-02-01,SGD,95000.00,IDR,1030775000,10850.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240201-022,2024-02-01,SGD,42000.00,IDR,470400000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,PT Tokoapik ID
TXN-20240201-023,2024-02-03,SGD,23500.00,MYR,77550.00,3.300,3.35,DBS,intercompany,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240201-024,2024-02-03,SGD,70000.00,IDR,756000000,10800.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240201-025,2024-02-06,SGD,16000.00,THB,432000.00,27.000,27.50,Stripe,contractor_payout,SGD→USD→THB,Tokoapik SG Pte Ltd
TXN-20240201-026,2024-02-06,SGD,52000.00,MYR,172380.00,3.315,3.35,Revolut,intercompany,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240201-027,2024-02-08,SGD,110000.00,IDR,1199000000,10900.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240201-028,2024-02-08,SGD,35000.00,IDR,392000000,11200.00,11200.00,Wise,contractor_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240201-029,2024-02-11,SGD,29000.00,MYR,97120.00,3.350,3.35,Wise,contractor_payout,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240201-030,2024-02-11,SGD,66000.00,IDR,718080000,10880.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240215-031,2024-02-15,SGD,40000.00,IDR,448000000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,PT Tokoapik ID
TXN-20240215-032,2024-02-15,SGD,82000.00,IDR,884380000,10785.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240215-033,2024-02-17,SGD,21000.00,MYR,69510.00,3.310,3.35,DBS,supplier_payout,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240215-034,2024-02-17,SGD,58000.00,IDR,649600000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240215-035,2024-02-19,SGD,14500.00,THB,388600.00,26.800,27.50,Stripe,contractor_payout,SGD→USD→THB,Tokoapik SG Pte Ltd
TXN-20240215-036,2024-02-19,SGD,47000.00,MYR,154610.00,3.290,3.35,Revolut,intercompany,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240215-037,2024-02-22,SGD,100000.00,IDR,1078000000,10780.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240215-038,2024-02-22,SGD,27000.00,IDR,302400000,11200.00,11200.00,Wise,contractor_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240215-039,2024-02-24,SGD,36000.00,MYR,120600.00,3.350,3.35,Wise,contractor_payout,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240215-040,2024-02-24,SGD,73000.00,IDR,797160000,10920.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240301-041,2024-03-01,SGD,130000.00,IDR,1410800000,10853.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240301-042,2024-03-01,SGD,45000.00,IDR,504000000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,PT Tokoapik ID
TXN-20240301-043,2024-03-04,SGD,26000.00,MYR,85800.00,3.300,3.35,DBS,intercompany,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240301-044,2024-03-04,SGD,88000.00,IDR,950400000,10800.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240301-045,2024-03-06,SGD,20000.00,THB,540000.00,27.000,27.50,DBS,contractor_payout,SGD→USD→THB,Tokoapik SG Pte Ltd
TXN-20240301-046,2024-03-06,SGD,60000.00,MYR,199200.00,3.320,3.35,Revolut,intercompany,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240301-047,2024-03-08,SGD,115000.00,IDR,1254200000,10906.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240301-048,2024-03-08,SGD,39000.00,IDR,436800000,11200.00,11200.00,Wise,contractor_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240301-049,2024-03-11,SGD,33000.00,MYR,110550.00,3.350,3.35,Wise,contractor_payout,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240301-050,2024-03-11,SGD,77000.00,IDR,836990000,10870.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240315-051,2024-03-15,SGD,54000.00,IDR,604800000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,PT Tokoapik ID
TXN-20240315-052,2024-03-15,SGD,92000.00,IDR,991200000,10774.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240315-053,2024-03-17,SGD,24000.00,MYR,79200.00,3.300,3.35,DBS,supplier_payout,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240315-054,2024-03-17,SGD,63000.00,IDR,705600000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240315-055,2024-03-19,SGD,17000.00,THB,452900.00,26.641,27.50,Stripe,contractor_payout,SGD→USD→THB,Tokoapik SG Pte Ltd
TXN-20240315-056,2024-03-19,SGD,49000.00,MYR,160748.00,3.281,3.35,Revolut,intercompany,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240315-057,2024-03-22,SGD,105000.00,IDR,1134000000,10800.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240315-058,2024-03-22,SGD,43000.00,IDR,481600000,11200.00,11200.00,Wise,contractor_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240315-059,2024-03-25,SGD,30000.00,MYR,100500.00,3.350,3.35,Wise,contractor_payout,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240315-060,2024-03-25,SGD,80000.00,IDR,864000000,10800.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
